"","movieTitle","totalAudi"
"1","창궐","1220700"
"2","암수살인","3743383"
"3","미쓰백","676940"
"4","해리포터와 마법사의 돌","132974"
"5","크레이지 리치 아시안","131883"
"6","스타 이즈 본","389696"
"7","베놈","3873669"
"8","퍼스트맨","650338"
"9","완벽한 타인","47110"
"10","곰돌이 푸 다시 만나 행복해","488794"
